#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
6,19,2.75,1.81202,0.384596,-0.443662,160,0.0880685,0.00440342,0.05,0.4451,0.60704
6,20,2.75,1.81202,0.384596,-0.443662,168,0.0823509,0.00411755,0.05,0.4451,0.60704
6,21,2.75,1.81202,0.384596,-0.443662,176,0.0851783,0.00425892,0.05,0.4451,0.60704
6,22,2.75,1.81202,0.384596,-0.443662,184,0.0853844,0.00426922,0.05,0.4451,0.60704
6,23,2.75,1.81202,0.384596,-0.443662,192,0.0823016,0.00411508,0.05,0.4451,0.60704
6,24,2.75,1.81202,0.384596,-0.443662,200,0.0849687,0.00424843,0.05,0.4451,0.60704
6,25,2.75,1.81202,0.384596,-0.443662,208,0.0981645,0.00490823,0.05,0.4451,0.60704
6,26,2.75,1.81202,0.384596,-0.443662,216,0.0955268,0.00477634,0.05,0.4451,0.60704
6,27,2.75,1.81202,0.384596,-0.443662,224,0.0942587,0.00471293,0.05,0.4451,0.60704
6,28,2.75,1.81202,0.384596,-0.443662,232,0.105589,0.00527945,0.05,0.4451,0.60704
6,29,2.75,1.81202,0.384596,-0.443662,240,0.114995,0.00574974,0.05,0.4451,0.60704
6,30,2.75,1.81202,0.384596,-0.443662,248,0.110988,0.00554942,0.05,0.4451,0.60704
6,31,2.75,1.81202,0.384596,-0.443662,256,0.120075,0.00600377,0.05,0.4451,0.60704
6,32,2.75,1.81202,0.384596,-0.443662,264,0.140013,0.00700064,0.05,0.4451,0.60704
6,33,2.75,1.81202,0.384596,-0.443662,272,0.159278,0.00796391,0.05,0.4451,0.60704
6,34,2.75,1.81202,0.384596,-0.443662,280,0.15981,0.00799052,0.05,0.4451,0.60704
6,35,2.75,1.81202,0.384596,-0.443662,288,0.197962,0.00989811,0.05,0.4451,0.60704
6,36,2.75,1.81202,0.384596,-0.443662,296,0.247188,0.0123594,0.05,0.4451,0.60704
6,37,2.75,1.81202,0.384596,-0.443662,304,0.28281,0.0141405,0.05,0.4451,0.60704
6,38,2.75,1.81202,0.384596,-0.443662,312,0.322362,0.0161181,0.05,0.4451,0.60704
6,39,2.75,1.81202,0.384596,-0.443662,320,0.352145,0.0176072,0.05,0.4451,0.60704
6,40,2.75,1.81202,0.384596,-0.443662,328,0.418867,0.0209434,0.05,0.4451,0.60704
